,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
45,田中宥久子の造顔マッサージ,1679,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4233144%2F,顔を変える！１０年前の顔になる『造顔マッサージ』を一挙に紹介。美のカリスマ田中宥久子自らが出演、指導によるＤＶＤ登場！！映像を追っていくうちに、驚異のマッサージを習得。毎日たった３分間のマッサージで小顔になれる。しみ、シワ、くすみ、たるみ、毛穴などの悩みを解消。『造顔マッサージ』のすべてが、この一冊で、このＤＶＤで、習得できます。,2200,4.54,単行本
46,さまよう刃,1678,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5684971%2F,長峰の一人娘・絵摩の死体が荒川から発見された。花火大会の帰りに、未成年の少年グループによって蹂躪された末の遺棄だった。謎の密告電話によって犯人を知った長峰は、突き動かされるように娘の復讐に乗り出した。犯人の一人を殺害し、さらに逃走する父親を、警察とマスコミが追う。正義とは何か。誰が犯人を裁くのか。世論を巻き込み、事件は予想外の結末を迎えるー。重く哀しいテーマに挑んだ、心を揺さぶる傑作長編。,836,4.14,文庫
47,ボードブック はらぺこあおむし,1676,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F921996%2F,アメリカ・グラフィックアート協会賞受賞。,990,4.73,絵本
48,植物図鑑,1640,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6086812%2F,ある日、道ばたに落ちていた彼。「お嬢さん、よかったら俺を拾ってくれませんか？咬みません。躾のできたよい子です」「-あらやだ。けっこういい男」楽しくて美味しい道草が、やがて二人の恋になるー。書き下ろし番外編に加え、イツキ特製“道草料理レシピ”も掲載。,1650,4.25,単行本
49,終末のフール,1628,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6072808%2F,八年後に小惑星が衝突し、地球は滅亡する。そう予告されてから五年が過ぎた頃。当初は絶望からパニックに陥った世界も、いまや平穏な小康状態にある。仙台北部の団地「ヒルズタウン」の住民たちも同様だった。彼らは余命三年という時間の中で人生を見つめ直す。家族の再生、新しい生命への希望、過去の恩讐。はたして終末を前にした人間にとっての幸福とは？今日を生きることの意味を知る物語。,693,3.81,文庫
50,流星ワゴン,1605,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1762866%2F,死んじゃってもいいかなあ、もう…。３８歳・秋。その夜、僕は、５年前に交通事故死した父子の乗る不思議なワゴンに拾われた。そしてー自分と同い歳の父親に出逢った。時空を超えてワゴンがめぐる、人生の岐路になった場所への旅。やり直しは、叶えられるのかー？「本の雑誌」年間ベスト１に輝いた傑作。,803,4.08,文庫
51,探偵ガリレオ,1590,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1414856%2F,突然、燃え上がった若者の頭、心臓だけ腐った男の死体、池に浮んだデスマスク、幽体離脱した少年…警視庁捜査一課の草薙俊平が、説明のつかない難事件にぶつかったとき、必ず訪ねる友人がいる。帝都大学理工学部物理学科助教授・湯川学。常識を超えた謎に天才科学者が挑む、連作ミステリーのシリーズ第一作。,759,3.77,文庫
52,葉桜の季節に君を想うということ,1580,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4388876%2F,「何でもやってやろう屋」を自称する元私立探偵・成瀬将虎は、同じフィットネスクラブに通う愛子から悪質な霊感商法の調査を依頼された。そんな折、自殺を図ろうとしているところを救った麻宮さくらと運命の出会いを果たしてー。あらゆるミステリーの賞を総なめにした本作は、必ず二度、三度と読みたくなる究極の徹夜本です。,825,3.58,文庫
53,下町ロケット,1575,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6873618%2F,取引先大企業「来月末までで取引終了にしてくれ」メインバンク「そもそも会社の存続が無理」ライバル大手企業「特許侵害で訴えたら、…どれだけ耐えられる？」帝国重工「子会社にしてしまえば技術も特許も自由に使える」-佃製作所、まさに崖っプチ。,1870,4.5,単行本
54,すべてがFになる,1567,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1024790%2F,孤島のハイテク研究所で、少女時代から完全に隔離された生活を送る天才工学博士・真賀田四季。彼女の部屋からウエディング・ドレスをまとい両手両足を切断された死体が現れた。偶然、島を訪れていたＮ大助教授・犀川創平と女子学生・西之園萌絵が、この不可思議な密室殺人に挑む。新しい形の本格ミステリィ登場。,869,3.99,文庫
55,カラフル,1553,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4508420%2F,生前の罪により、輪廻のサイクルから外されたぼくの魂。だが天使業界の抽選にあたり、再挑戦のチャンスを得た。自殺を図った少年、真の体にホームステイし、自分の罪を思い出さなければならないのだ。真として過ごすうち、ぼくは人の欠点や美点が見えてくるようになるのだが…。不朽の名作ついに登場。,682,4.0,文庫
56,ノルウェイの森（下）,1542,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1709071%2F,あらゆる物事を深刻に考えすぎないようにすること、あらゆる物事と自分の間にしかるべき距離を置くことー。あたらしい僕の大学生活はこうしてはじまった。自殺した親友キズキ、その恋人の直子、同じ学部の緑。等身大の人物を登場させ、心の震えや感動、そして哀しみを淡々とせつないまでに描いた作品。,682,3.94,文庫
57,火車,1535,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F944645%2F,休職中の刑事、本間俊介は遠縁の男性に頼まれて彼の婚約者、関根彰子の行方を捜すことになった。自らの意思で失踪、しかも徹底的に足取りを消してーなぜ彰子はそこまでして自分の存在を消さねばならなかったのか？いったい彼女は何者なのか？謎を解く鍵は、カード会社の犠牲ともいうべき自己破産者の凄惨な人生に隠されていた。山本周五郎賞に輝いたミステリー史に残る傑作。,1100,4.09,文庫
58,図書館戦争 図書館戦争シリーズ（1）,1513,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11164201%2F,２０１９年（正化３１年）。公序良俗を乱す表現を取り締まる『メディア良化法』が成立して３０年。高校時代に出会った、図書隊員を名乗る“王子様”の姿を追い求め、行き過ぎた検閲から本を守るための組織・図書隊に入隊した、一人の女の子がいた。名は笠原郁。不器用ながらも、愚直に頑張るその情熱が認められ、エリート部隊・図書特殊部隊に配属されることになったが…！？番外編も収録した本と恋の極上エンタテインメント、スタート。,733,4.03,文庫
59,3日で運がよくなる「そうじ力」,1495,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4144452%2F,換気する、捨てる、汚れを取る、整理整頓、炒り塩。この５つのステップで人生にマイナスになるものが取り除かれ、人生がガラリと好転します。きれいな部屋は“幸運”を呼び込む宝箱。,555,4.55,文庫
60,だるまさんが,1495,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5248992%2F,,935,4.63,絵本
61,チルドレン,1473,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4392740%2F,「俺たちは奇跡を起こすんだ」独自の正義感を持ち、いつも周囲を自分のペースに引き込むが、なぜか憎めない男、陣内。彼を中心にして起こる不思議な事件の数々-。何気ない日常に起こった五つの物語が、一つになったとき、予想もしない奇跡が降り注ぐ。ちょっとファニーで、心温まる連作短編の傑作。,726,4.13,文庫
62,四畳半神話大系,1457,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5531863%2F,私は冴えない大学３回生。バラ色のキャンパスライフを想像していたのに、現実はほど遠い。悪友の小津には振り回され、謎の自由人・樋口師匠には無理な要求をされ、孤高の乙女・明石さんとは、なかなかお近づきになれない。いっそのこと、ぴかぴかの１回生に戻って大学生活をやり直したい！さ迷い込んだ４つの並行世界で繰り広げられる、滅法おかしくて、ちょっぴりほろ苦い青春ストーリー。,748,3.99,文庫
63,子育てハッピーアドバイス,1448,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3695760%2F,“輝ける子”に育つとっても大切なこと。,1026,4.77,単行本
64,イン・ザ・プール,1448,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3984829%2F,「いらっしゃーい」。伊良部総合病院地下にある神経科を訪ねた患者たちは、甲高い声に迎えられる。色白で太ったその精神科医の名は伊良部一郎。そしてそこで待ち受ける前代未聞の体験。プール依存症、陰茎強直症、妄想癖…訪れる人々も変だが、治療する医者のほうがもっと変。こいつは利口か、馬鹿か？名医か、ヤブ医者か。,682,3.99,文庫
65,こどもずかん,1446,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1602022%2F,動物から、食べもの、乗りもの、かずまでテーマ別に、楽しい絵がせいぞろい。日本語で名まえを言えるようになったら、次は、英語の呼びかたにもチャレンジ！仲間分けの認識にも役立ちます。,1045,4.7,絵本
66,ねないこ だれだ,1439,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F247142%2F,,770,4.51,絵本
67,陽だまりの彼女,1418,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11180684%2F,幼馴染みと十年ぶりに再会した俺。かつて「学年有数のバカ」と呼ばれ冴えないイジメられっ子だった彼女は、モテ系の出来る女へと驚異の大変身を遂げていた。でも彼女、俺には計り知れない過去を抱えているようでーその秘密を知ったとき、恋は前代未聞のハッピーエンドへと走りはじめる！誰かを好きになる素敵な瞬間と、同じくらいの切なさもすべてつまった完全無欠の恋愛小説。,649,3.59,文庫
68,ゴールデンスランバー,1418,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6875974%2F,衆人環視の中、首相が爆殺された。そして犯人は俺だと報道されている。なぜだ？何が起こっているんだ？俺はやっていないー。首相暗殺の濡れ衣をきせられ、巨大な陰謀に包囲された青年・青柳雅春。暴力も辞さぬ追手集団からの、孤独な必死の逃走。行く手に見え隠れする謎の人物達。運命の鍵を握る古い記憶の断片とビートルズのメロディ。スリル炸裂超弩級エンタテインメント巨編。,1100,4.17,文庫
69,魔王,1413,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5845098%2F,会社員の安藤は弟の潤也と二人で暮らしていた。自分が念じれば、それを相手が必ず口に出すことに偶然気がついた安藤は、その能力を携えて、一人の男に近づいていった。五年後の潤也の姿を描いた「呼吸」とともに綴られる、何気ない日常生活に流されることの危うさ。新たなる小説の可能性を追求した物語。,770,3.49,文庫
70,コンビニ人間,1394,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14281953%2F,３６歳未婚女性、古倉恵子。大学卒業後も就職せず、コンビニのバイトは１８年目。これまで彼氏なし。日々食べるのはコンビニ食、夢の中でもコンビニのレジを打ち、清潔なコンビニの風景と「いらっしゃいませ！」の掛け声が、毎日の安らかな眠りをもたらしてくれる。ある日、婚活目的の新入り男性、白羽がやってきて、そんなコンビニ的生き方は恥ずかしいと突きつけられるが…。「普通」とは何か？現代の実存を軽やかに問う衝撃作。第１５５回芥川賞受賞。,1430,3.78,単行本
71,ONE PIECE 60,1391,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6796965%2F,,484,4.64,コミック
72,1Q84（BOOK2（7月ー9月））,1377,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6047815%2F,心から一歩も外に出ないものごとは、この世界にはない。心から外に出ないものごとは、そこの別の世界を作り上げていく。書き下ろし長編小説。,1980,4.09,単行本
73,ゴールデンスランバー,1375,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4995357%2F,仙台で金田首相の凱旋パレードが行われている、ちょうどその時、青柳雅春は、旧友の森田森吾に、何年かぶりで呼び出されていた。昔話をしたいわけでもないようで、森田の様子はどこかおかしい。訝る青柳に、森田は「おまえは、陥れられている。今も、その最中だ」「金田はパレード中に暗殺される」「逃げろ！オズワルドにされるぞ」と、鬼気迫る調子で訴えた。と、遠くで爆音がし、折しも現れた警官は、青柳に向かって拳銃を構えたー。精緻極まる伏線、忘れがたい会話、構築度の高い物語世界ー、伊坂幸太郎のエッセンスを濃密にちりばめた、現時点での集大成。,1760,4.29,単行本
74,ちょっとだけ,1355,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5078970%2F,赤ちゃんが生まれて、お母さんは忙しいので、なっちゃんはいろんなことを自分ひとりでやってみます。お姉さんになったからと頑張るなっちゃんですが、眠くなった時だけは、どうしてもお母さんに甘えたくなります。「“ちょっとだけ”でいいからだっこして」とお母さんにお願いしてみると、お母さんにはなっちゃんの大切なお願いがちゃんとわかりました。「いっぱいだっこしたいんですけど、いいですか？」とお母さんはなっちゃんのことを、いっぱいだっこしてくれたのです。お姉さんになったことで感じる切なさ、そしてそれを乗り越えることで成長していく子どもの姿を、母親の深い愛情とともに描いています。,990,4.74,絵本
75,風が強く吹いている,1350,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6105523%2F,箱根駅伝を走りたいーそんな灰二の想いが、天才ランナー走と出会って動き出す。「駅伝」って何？走るってどういうことなんだ？十人の個性あふれるメンバーが、長距離を走ること（＝生きること）に夢中で突き進む。自分の限界に挑戦し、ゴールを目指して襷を繋ぐことで、仲間と繋がっていく…風を感じて、走れ！「速く」ではなく「強く」-純度１００パーセントの疾走青春小説。,1045,4.59,文庫
76,ちいさなあなたへ,1336,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5441462%2F,母でいることの幸福、喜び、不安、痛み、そして子どもへの思いー母であることのすべてがつまった絵本。,1100,4.54,絵本
77,本日は、お日柄もよく,1330,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12285428%2F,ＯＬ二ノ宮こと葉は、想いをよせていた幼なじみ厚志の結婚式に最悪の気分で出席していた。ところがその結婚式で涙が溢れるほど感動する衝撃的なスピーチに出会う。それは伝説のスピーチライター久遠久美の祝辞だった。空気を一変させる言葉に魅せられてしまったこと葉はすぐに弟子入り。久美の教えを受け、「政権交代」を叫ぶ野党のスピーチライターに抜擢された！目頭が熱くなるお仕事小説。,712,4.23,文庫
78,蜜蜂と遠雷,1329,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F14426255%2F,私はまだ、音楽の神様に愛されているだろうか？ピアノコンクールを舞台に、人間の才能と運命、そして音楽を描き切った青春群像小説。著者渾身、文句なしの最高傑作！,1980,4.43,単行本
79,まほろ駅前多田便利軒,1323,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5948856%2F,まほろ市は東京のはずれに位置する都南西部最大の町。駅前で便利屋を営む多田啓介のもとに高校時代の同級生・行天春彦がころがりこんだ。ペットあずかりに塾の送迎、納屋の整理ｅｔｃ．-ありふれた依頼のはずがこのコンビにかかると何故かきな臭い状況に。多田・行天の魅力全開の第１３５回直木賞受賞作。,726,3.87,文庫
80,伝える力,1323,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4352242%2F,仕事のさまざまな場面でコミュニケーション能力は求められる。基本であるにもかかわらず、意外と難しい。相づちを打ったり、返事をしたり、目をジッと見たり、あるいは反対に目をそらしたり…。「伝える」には、「話す」「書く」そして「聞く」能力が必須。それらによって、業績が左右されることも往々にしてある。現代のビジネスパーソンに不可欠な能力といえる「伝える力」をどうやって磨き、高めていったらよいのか。その極意を紹介する。,880,3.75,新書
